"vb","value","date"
"TM1",11.2,1958-11-30
"TM2",6.2,1958-11-30
"TM3",16.2,1958-11-30
"TM4",2.8,1958-11-30
"PM1",16.2,1958-11-30
"TM1",9.8,1958-12-31
"TM2",6.2,1958-12-31
"TM3",13.5,1958-12-31
"TM4",0.3,1958-12-31
"PM1",271.9,1958-12-31
"TM1",10.2,1959-01-31
"TM2",6,1959-01-31
"TM3",14.3,1959-01-31
"TM4",1.8,1959-01-31
"TM1",8.2,1959-02-28
"TM2",3.4,1959-02-28
"TM3",12.9,1959-02-28
"TM4",0.4,1959-02-28
"PM1",43.1,1959-02-28
"TM1",12,1959-03-31
"TM2",7,1959-03-31
"TM3",16.9,1959-03-31
"TM4",1.8,1959-03-31
"PM1",41.6,1959-03-31
"TM1",13.4,1959-04-30
"TM2",7.7,1959-04-30
"TM3",19,1959-04-30
"TM4",4.6,1959-04-30
"PM1",24.1,1959-04-30
"TM1",14.6,1959-05-31
"TM2",9.8,1959-05-31
"TM3",19.5,1959-05-31
"TM4",5.3,1959-05-31
"TM1",19.4,1959-06-30
"TM2",13.2,1959-06-30
"TM3",25.6,1959-06-30
"TM4",9,1959-06-30
"PM1",0.5,1959-06-30
"TM1",23,1959-07-31
"TM2",16.6,1959-07-31
"TM3",29.4,1959-07-31
"TM4",13.2,1959-07-31
"PM1",9.3,1959-07-31
"TM1",22.3,1959-08-31
"TM2",16.4,1959-08-31
"TM3",28.2,1959-08-31
"TM4",13,1959-08-31
"PM1",8.3,1959-08-31
"TM1",19.9,1959-09-30
"TM2",14,1959-09-30
"TM3",25.8,1959-09-30
"TM4",12.4,1959-09-30
"PM1",45.9,1959-09-30
"TM1",16.1,1959-10-31
"TM2",11.2,1959-10-31
"TM3",20.9,1959-10-31
"TM4",4.1,1959-10-31
"PM1",56.6,1959-10-31
"TM1",12,1959-11-30
"TM2",7.4,1959-11-30
"TM3",16.6,1959-11-30
"TM4",4,1959-11-30
"PM1",39.4,1959-11-30
"TM1",9.6,1959-12-31
"TM2",4.9,1959-12-31
"TM3",14.3,1959-12-31
"TM4",0.4,1959-12-31
"TM1",8.8,1960-01-31
"TM2",4.1,1960-01-31
"TM3",13.5,1960-01-31
"TM4",-3,1960-01-31
"PM1",67.4,1960-01-31
"TM1",11,1960-02-29
"TM2",6.5,1960-02-29
"TM3",15.5,1960-02-29
"TM4",0.8,1960-02-29
"PM1",137.8,1960-02-29
"TM1",12,1960-03-31
"TM2",7.5,1960-03-31
"TM3",16.5,1960-03-31
"TM4",4.6,1960-03-31
"PM1",192.1,1960-03-31
"TM1",13.3,1960-04-30
"TM2",7.4,1960-04-30
"TM3",19.1,1960-04-30
"TM4",2.6,1960-04-30
"PM1",69.6,1960-04-30
"TM1",16.6,1960-05-31
"TM2",10.6,1960-05-31
"TM3",22.5,1960-05-31
