"vb","value","date"
"TM2",9,1959-05-31
"TM3",20.6,1959-05-31
"TM4",3,1959-05-31
"PM1",120.2,1959-05-31
"TM1",20.8,1959-06-30
"TM2",12.7,1959-06-30
"TM3",28.9,1959-06-30
"TM4",8.3,1959-06-30
"PM1",0,1959-06-30
"TM1",25.9,1959-07-31
"TM2",17.6,1959-07-31
"TM3",34.2,1959-07-31
"TM4",13.4,1959-07-31
"PM1",7.1,1959-07-31
"TM1",24.4,1959-08-31
"TM2",16.3,1959-08-31
"TM3",32.5,1959-08-31
"TM4",13,1959-08-31
"PM1",10.7,1959-08-31
"TM1",20.3,1959-09-30
"TM2",13.6,1959-09-30
"TM3",27,1959-09-30
"TM4",11,1959-09-30
"PM1",45.9,1959-09-30
"TM1",15.2,1959-10-31
"TM2",9.6,1959-10-31
"TM3",20.7,1959-10-31
"TM4",1.6,1959-10-31
"PM1",49.7,1959-10-31
"TM1",10.4,1959-11-30
"TM2",5.1,1959-11-30
"TM3",15.7,1959-11-30
"TM4",1.4,1959-11-30
"PM1",59.6,1959-11-30
"TM1",7.1,1959-12-31
"TM2",2.8,1959-12-31
"TM3",11.3,1959-12-31
"TM4",-1,1959-12-31
"PM1",42.9,1959-12-31
"TM1",6.7,1960-01-31
"TM2",1.5,1960-01-31
"TM3",11.9,1960-01-31
"TM4",-4.2,1960-01-31
"PM1",43.1,1960-01-31
"TM1",9.5,1960-02-29
"TM2",4.4,1960-02-29
"TM3",14.7,1960-02-29
"TM4",-2,1960-02-29
"PM1",76.4,1960-02-29
"TM1",10.8,1960-03-31
"TM2",5.4,1960-03-31
"TM3",16.2,1960-03-31
"TM4",2,1960-03-31
"PM1",152.5,1960-03-31
"TM1",13.1,1960-04-30
"TM2",6.3,1960-04-30
"TM3",19.8,1960-04-30
"TM4",1.6,1960-04-30
"PM1",46.3,1960-04-30
"TM1",17.4,1960-05-31
"TM2",10.1,1960-05-31
"TM3",24.8,1960-05-31
"TM4",2,1960-05-31
"PM1",16.1,1960-05-31
"TM1",22.2,1960-06-30
"TM2",15.1,1960-06-30
"TM3",29.4,1960-06-30
"TM4",10.5,1960-06-30
"PM1",37.7,1960-06-30
"TM1",25,1960-07-31
"TM2",17,1960-07-31
"TM3",33,1960-07-31
"TM4",12.6,1960-07-31
"PM1",1.4,1960-07-31
"TM1",24.6,1960-08-31
"TM2",16.3,1960-08-31
"TM3",32.9,1960-08-31
"TM4",12.4,1960-08-31
"PM1",0,1960-08-31
"TM1",20.9,1960-09-30
"TM2",13.3,1960-09-30
"TM3",28.6,1960-09-30
"TM4",7.6,1960-09-30
"PM1",6.2,1960-09-30
"TM1",14.1,1960-10-31
"TM2",9.2,1960-10-31
"TM3",18.9,1960-10-31
"TM4",4.5,1960-10-31
"PM1",62.4,1960-10-31
"TM1",11.4,1960-11-30
"TM2",6.8,1960-11-30
"TM3",16,1960-11-30
"TM4",1,1960-11-30
"PM1",38.9,1960-11-30
"TM1",5.1,1960-12-31
"TM2",1.2,1960-12-31
"TM3",9.1,1960-12-31
"TM4",-2.6,1960-12-31
"PM1",65.7,1960-12-31
"TM1",5.9,1961-01-31
"TM2",1.5,1961-01-31
"TM3",10.3,1961-01-31
"TM4",-2.8,1961-01-31
"PM1",33.7,1961-01-31
"TM1",10.6,1961-02-28
"TM2",2.9,1961-02-28
"TM3",18.3,1961-02-28
"TM4",0.4,1961-02-28
"PM1",0,1961-02-28
"TM1",12.2,1961-03-31
"TM2",4.3,1961-03-31
"TM3",20.1,1961-03-31
"TM4",0.4,1961-03-31
"PM1",4.4,1961-03-31
"TM1",14.7,1961-04-30
"TM2",7.9,1961-04-30
"TM3",21.3,1961-04-30
"TM4",3.5,1961-04-30
"PM1",23.5,1961-04-30
"TM1",19.7,1961-05-31
"TM2",11.6,1961-05-31
"TM3",26.6,1961-05-31
"TM4",8.4,1961-05-31
"PM1",24.7,1961-05-31
"TM1",21.8,1961-06-30
"TM2",14.1,1961-06-30
"TM3",29,1961-06-30
"TM4",8,1961-06-30
"PM1",13.4,1961-06-30
"TM1",26.1,1961-07-31
"TM2",16.8,1961-07-31
"TM3",34.3,1961-07-31
"TM4",11,1961-07-31
"PM1",6,1961-07-31
"TM1",25.8,1961-08-31
"TM2",17.2,1961-08-31
"TM3",33.6,1961-08-31
"TM4",14.4,1961-08-31
"PM1",0,1961-08-31
"TM1",22.4,1961-09-30
"TM2",15,1961-09-30
"TM3",29.9,1961-09-30
"TM4",9.4,1961-09-30
"PM1",10.8,1961-09-30
"TM1",14.8,1961-10-31
"TM2",8.6,1961-10-31
"TM3",21.8,1961-10-31
"TM4",3.4,1961-10-31
"PM1",21.6,1961-10-31
"TM1",9.8,1961-11-30
"TM2",5.7,1961-11-30
"TM3",14.6,1961-11-30
"TM4",-1,1961-11-30
"PM1",116.9,1961-11-30
"TM1",7.8,1961-12-31
"TM2",3.4,1961-12-31
"TM3",13.6,1961-12-31
"TM4",-1,1961-12-31
"PM1",108.5,1961-12-31
"TM1",7,1962-01-31
"TM2",2.6,1962-01-31
"TM3",12.8,1962-01-31
"TM4",-1,1962-01-31
"PM1",22.7,1962-01-31
"TM1",6.8,1962-02-28
"TM2",1.1,1962-02-28
"TM3",14,1962-02-28
"TM4",-2.6,1962-02-28
"PM1",13.3,1962-02-28
"TM1",9.4,1962-03-31
"TM2",5,1962-03-31
"TM3",14.4,1962-03-31
"TM4",0,1962-03-31
"PM1",100.4,1962-03-31
"TM1",12.8,1962-04-30
"TM2",6.9,1962-04-30
"TM3",19.4,1962-04-30
"TM4",3.6,1962-04-30
"PM1",54.9,1962-04-30
"TM1",16.5,1962-05-31
"TM2",8.6,1962-05-31
"TM3",24.4,1962-05-31
"TM4",3.6,1962-05-31
"PM1",18.9,1962-05-31
"TM1",20.5,1962-06-30
"TM2",12.5,1962-06-30
"TM3",28.8,1962-06-30
"TM4",7,1962-06-30
"PM1",1.5,1962-06-30
"TM1",26,1962-07-31
"TM2",16.8,1962-07-31
"TM3",35,1962-07-31
"TM4",13,1962-07-31
"PM1",0,1962-07-31
"TM1",26.2,1962-08-31
"TM2",17.3,1962-08-31
"TM3",35.3,1962-08-31
"TM4",14.6,1962-08-31
"PM1",0.1,1962-08-31
"TM1",22.4,1962-09-30
"TM2",14.9,1962-09-30
"TM3",31,1962-09-30
"TM4",6,1962-09-30
"PM1",3.7,1962-09-30
"TM1",16.6,1962-10-31
"TM2",11.4,1962-10-31
"TM3",23.1,1962-10-31
"TM4",5,1962-10-31
"PM1",106.8,1962-10-31
"TM1",7.3,1962-11-30
"TM2",3.4,1962-11-30
"TM3",12.5,1962-11-30
"TM4",-2.4,1962-11-30
"PM1",65.9,1962-11-30
"TM1",6.1,1962-12-31
"TM2",2.2,1962-12-31
"TM3",11,1962-12-31
"TM4",-2,1962-12-31
"PM1",75.4,1962-12-31
"TM1",7.2,1963-01-31
"TM2",2.6,1963-01-31
"TM3",11.9,1963-01-31
"TM4",-4,1963-01-31
"PM1",88.3,1963-01-31
"TM1",6.1,1963-02-28
"TM2",1.9,1963-02-28
"TM3",10.4,1963-02-28
"TM4",-5.4,1963-02-28
"PM1",146.2,1963-02-28
"TM1",10.2,1963-03-31
"TM2",4.2,1963-03-31
