"year","bai_mean","bai_sd","bai_se","n_trees","site","nseries"
1855,2215.0767089787,987.179066927152,312.17343099296,10,"CA_High",17
1856,2355.74399415495,984.110622772422,311.203103752762,10,"CA_High",18
1857,2242.63870535907,853.189185152604,269.802110010534,10,"CA_High",19
1858,2460.19720769785,1332.00178271464,401.613648486269,11,"CA_High",20
1859,2403.66194163683,1089.88376296141,328.612318803967,11,"CA_High",20
1860,2459.37060873746,1013.79728620707,305.67138289358,11,"CA_High",20
1861,2316.92895718113,1060.52701006892,319.760924766915,11,"CA_High",20
1862,2122.32740101271,942.116720149731,284.058879041538,11,"CA_High",20
1863,2345.62563079336,1045.37737653333,315.193138389741,11,"CA_High",21
1864,1989.10270492962,1119.69541741632,337.600870822754,11,"CA_High",21
1865,2433.0230507951,1007.7368760675,290.908578334941,12,"CA_High",22
1866,2545.14223369885,1223.05750271396,353.066289213148,12,"CA_High",22
1867,2056.94553760838,944.179966144114,272.561278808378,12,"CA_High",23
1868,2290.35601007823,937.08271542697,270.512479002353,12,"CA_High",23
1869,2588.18117881461,1064.1323947798,307.18856228976,12,"CA_High",23
1870,1970.65235807291,651.710282041304,188.132553385097,12,"CA_High",23
1871,1748.47895095991,720.742322355931,208.060386914276,12,"CA_High",23
1872,2424.84193008595,1153.47741266404,332.980247352868,12,"CA_High",23
1873,2072.49272248909,905.072636526439,261.271965167352,12,"CA_High",23
1874,1608.25956939041,842.992074886645,243.350850680263,12,"CA_High",24
1875,2072.0102109505,1248.99161359815,360.552822163239,12,"CA_High",24
1876,2050.82459532473,1162.425642504,335.563378806303,12,"CA_High",24
1877,2122.71630243333,1084.895327465,313.182304677242,12,"CA_High",24
1878,1973.55728434571,1001.93650510701,289.234155467221,12,"CA_High",24
1879,1743.34130358434,1011.39558103173,291.964755482933,12,"CA_High",24
1880,1741.91877991332,873.71549209356,252.219937277682,12,"CA_High",24
1881,1851.19677721146,1019.67989857357,294.356231964349,12,"CA_High",24
1882,1605.99504623573,921.38183695401,265.980025795915,12,"CA_High",24
1883,2270.38160681492,1265.44301836016,365.301933647185,12,"CA_High",24
1884,2177.05929333423,1107.13635383637,319.602735958524,12,"CA_High",24
1885,2404.01735591884,1223.83538547047,353.290844622583,12,"CA_High",24
1886,1877.18055842108,957.534655828499,276.41644565049,12,"CA_High",24
1887,2204.02313848262,1037.84649126469,299.600475554589,12,"CA_High",24
1888,2362.87252364114,1058.99090598431,293.711231675116,13,"CA_High",25
1889,2316.77256017392,1020.04162352152,282.908644362645,13,"CA_High",25
1890,2362.37991477356,1142.33308062346,316.826191988201,13,"CA_High",25
1891,2083.26140911459,982.422930484164,272.475096157865,13,"CA_High",25
1892,2246.9803296866,964.750707324678,267.573703330714,13,"CA_High",25
1893,2363.36699714921,1278.98021089494,341.821839545196,14,"CA_High",26
1894,2198.04283609123,1047.07266933779,279.841941979775,14,"CA_High",26
1895,2044.71565501844,966.458411244915,258.296875246025,14,"CA_High",26
1896,1958.51601841275,973.556330634768,260.193873997151,14,"CA_High",26
1897,1884.90003825269,863.177727307593,230.693951391371,14,"CA_High",26
1898,2625.8563680253,2170.89852628516,560.523589240578,15,"CA_High",27
1899,3667.57375075449,3117.97885417903,805.05867840415,15,"CA_High",27
1900,2971.52789477916,2651.63885728999,684.650208962706,15,"CA_High",27
1901,3432.96951915151,2666.99850186375,688.616052138562,15,"CA_High",28
1902,2926.54798866258,2110.41056115652,544.905663801296,15,"CA_High",28
1903,2380.02444069121,1843.12233051761,475.892139407846,15,"CA_High",28
1904,3286.40498090214,2652.40430358123,684.847846345266,15,"CA_High",28
1905,2809.88825874271,2299.89600602233,593.830595288896,15,"CA_High",28
1906,3161.77126432195,2527.0498219577,652.48145836524,15,"CA_High",28
1907,3010.0197538778,2296.15125862835,592.863705669388,15,"CA_High",28
1908,3305.91115987391,2705.7972030796,698.633833716127,15,"CA_High",28
1909,2834.09448980826,2408.90054019841,621.975444990566,15,"CA_High",28
1910,2812.0296189986,2150.03631235033,555.136988764937,15,"CA_High",28
1911,2728.21559184398,1955.46718405615,504.899455860304,15,"CA_High",28
1912,2778.04581658824,2219.33999736421,573.031123290907,15,"CA_High",28
1913,2153.00972025531,1468.22445896618,379.093925204694,15,"CA_High",28
1914,2662.23229422607,1799.64459323645,464.666235913133,15,"CA_High",28
1915,2661.1737473374,1867.39602068653,482.159579259528,15,"CA_High",28
1916,2693.59501401469,2069.27539618904,534.284609877128,15,"CA_High",28
1917,3347.00825600982,3067.59150292839,792.048720253935,15,"CA_High",28
1918,2979.00528664925,2323.63047003063,599.958807544583,15,"CA_High",28
1919,2798.98370480283,2251.53791293431,581.344589343278,15,"CA_High",28
1920,3094.3062774158,2508.17022505408,647.60676740585,15,"CA_High",28
1921,2456.87023250607,1704.54199135034,440.110849694072,15,"CA_High",28
1922,2392.2017725558,1725.89294893313,445.623643236987,15,"CA_High",28
1923,2202.22161588201,1600.75243908136,413.312502530867,15,"CA_High",28
1924,2386.26928601722,1617.11163992322,417.536430025386,15,"CA_High",28
1925,2821.92411000666,2000.62437115569,516.55899143351,15,"CA_High",28
1926,2321.29370504945,1761.48204099138,454.812707293538,15,"CA_High",28
1927,2658.45534609112,2009.0681843911,518.739174636128,15,"CA_High",29
1928,2180.42551633165,1501.66565026688,387.728403670358,15,"CA_High",29
1929,2381.49488902291,1683.4019314586,434.652509700838,15,"CA_High",29
